날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 11월 18일,8208.4,8510.3,8516.3,8110.4,692.60K,-3.54%
2019년 11월 17일,8509.8,8497.4,8631.7,8413,531.22K,0.15%
2019년 11월 16일,8497.3,8476.2,8532.8,8450.7,471.16K,0.25%
2019년 11월 15일,8476.3,8660.8,8761.8,8437.1,653.71K,-2.13%
2019년 11월 14일,8661.2,8782.9,8799.8,8615.8,515.43K,-1.39%
2019년 11월 13일,8783.1,8813.2,8829.7,8721.1,454.33K,-0.33%
2019년 11월 12일,8812.6,8737.4,8841.2,8615.7,575.16K,0.87%
2019년 11월 11일,8736.9,9036.9,9066.4,8649.4,601.16K,-3.32%
2019년 11월 10일,9036.8,8804.7,9092.9,8763.5,581.57K,2.64%
2019년 11월 9일,8804.5,8778.1,8877.5,8746.9,512.02K,0.30%
2019년 11월 8일,8778.2,9223.6,9254.8,8722.4,791.79K,-4.83%
2019년 11월 7일,9223.5,9339.2,9367,9130,603.54K,-1.24%
2019년 11월 6일,9338.9,9311.2,9424.6,9262.7,578.03K,0.30%
2019년 11월 5일,9310.8,9396.1,9452.7,9193.9,653.42K,-0.91%
2019년 11월 4일,9396.4,9198.7,9500.4,9134.1,681.01K,2.15%
2019년 11월 3일,9198.3,9300.5,9359.1,9095,536.56K,-1.10%
2019년 11월 2일,9300.6,9230.3,9356.7,9201.2,570.74K,0.76%
2019년 11월 1일,9230.1,9153.1,9270.4,9057.2,689.65K,0.85%
2019년 10월 31일,9152.6,9157.9,9378.9,8959.6,798.93K,-0.06%
2019년 10월 30일,9157.9,9411.3,9411.3,9018.4,789.73K,-2.69%
2019년 10월 29일,9411.3,9206.5,9531.3,9125.3,918.48K,2.22%
2019년 10월 28일,9207.2,9530.1,9866.9,9202.5,1.04M,-3.38%
2019년 10월 27일,9529.6,9230.6,9773.2,9081,1.16M,3.24%
2019년 10월 26일,9230.6,8658.4,10540,8061.8,1.78M,6.61%
2019년 10월 25일,8658.3,7422.8,8697.7,7404.9,1.18M,16.65%
2019년 10월 24일,7422.7,7476.8,7501.5,7366.3,586.49K,-0.73%
2019년 10월 23일,7477,8031,8055,7329.2,892.08K,-6.90%
2019년 10월 22일,8031.4,8207.4,8289.1,8017.7,570.39K,-2.15%
2019년 10월 21일,8208.2,8224.1,8315.3,8155.7,489.40K,-0.18%
2019년 10월 20일,8223.4,7957.4,8288.5,7889.6,513.91K,3.34%
2019년 10월 19일,7957.3,7948.3,8060.2,7892.4,428.83K,0.11%
2019년 10월 18일,7948.5,8073.3,8116.4,7842,505.79K,-1.55%
2019년 10월 17일,8073.3,8000.4,8118.2,7944.4,444.95K,0.91%
2019년 10월 16일,8000.4,8167.1,8185.9,7929.8,538.92K,-2.04%
2019년 10월 15일,8167.2,8353.4,8400.2,8139.5,469.73K,-2.23%
2019년 10월 14일,8353.3,8281.3,8374.3,8222.2,505.02K,0.87%
2019년 10월 13일,8281.5,8304.3,8450.2,8190.6,419.87K,-0.28%
2019년 10월 12일,8304.4,8267.6,8394.8,8260.9,424.02K,0.44%
